"name","ts","high","hour"
"BYND","05-11-2021 09:55:00-0400","104.71"," 09"
"BYND","05-11-2021 10:55:00-0400","106.46"," 10"
"BYND","05-11-2021 11:55:00-0400","107.69"," 11"
"BYND","05-11-2021 12:55:00-0400","108.84"," 12"
"BYND","05-11-2021 13:45:00-0400","110.66"," 13"
"BYND","05-11-2021 14:45:00-0400","110.7"," 14"
"BYND","05-11-2021 14:50:00-0400","110.7"," 14"
"BYND","05-11-2021 14:55:00-0400","110.7"," 14"
"BYND","05-11-2021 15:30:00-0400","110.68"," 15"
"DDOG","05-11-2021 09:55:00-0400","77.04"," 09"
"DDOG","05-11-2021 10:20:00-0400","77.48"," 10"
"DDOG","05-11-2021 11:45:00-0400","78.61"," 11"
"DDOG","05-11-2021 12:00:00-0400","78.57"," 12"
"DDOG","05-11-2021 13:40:00-0400","79.1"," 13"
"DDOG","05-11-2021 14:25:00-0400","78.88"," 14"
"DDOG","05-11-2021 15:50:00-0400","78.75"," 15"
"FB","05-11-2021 09:55:00-0400","303.86"," 09"
"FB","05-11-2021 10:00:00-0400","303.87"," 10"
"FB","05-11-2021 11:35:00-0400","305.84"," 11"
"FB","05-11-2021 12:05:00-0400","306.59"," 12"
"FB","05-11-2021 13:40:00-0400","306.46"," 13"
"FB","05-11-2021 14:25:00-0400","306.83"," 14"
"FB","05-11-2021 15:25:00-0400","306.84"," 15"
"NFLX","05-11-2021 09:55:00-0400","492.12"," 09"
"NFLX","05-11-2021 10:00:00-0400","492.27"," 10"
"NFLX","05-11-2021 11:35:00-0400","495.33"," 11"
"NFLX","05-11-2021 12:05:00-0400","495.97"," 12"
"NFLX","05-11-2021 13:25:00-0400","496.82"," 13"
"NFLX","05-11-2021 14:25:00-0400","497.99"," 14"
"NFLX","05-11-2021 15:25:00-0400","496.67"," 15"
"NFLX","05-11-2021 15:50:00-0400","496.67"," 15"
"OKTA","05-11-2021 09:50:00-0400","231.46"," 09"
"OKTA","05-11-2021 10:00:00-0400","231.82"," 10"
"OKTA","05-11-2021 11:50:00-0400","239.23"," 11"
"OKTA","05-11-2021 12:15:00-0400","238.73"," 12"
"OKTA","05-11-2021 13:20:00-0400","240.53"," 13"
"OKTA","05-11-2021 14:25:00-0400","239.5"," 14"
"OKTA","05-11-2021 15:15:00-0400","238.21"," 15"
"PINS","05-11-2021 09:55:00-0400","58.78"," 09"
"PINS","05-11-2021 10:00:00-0400","58.66"," 10"
"PINS","05-11-2021 10:05:00-0400","58.66"," 10"
"PINS","05-11-2021 11:55:00-0400","59.49"," 11"
"PINS","05-11-2021 12:15:00-0400","59.81"," 12"
"PINS","05-11-2021 13:35:00-0400","60.03"," 13"
"PINS","05-11-2021 14:50:00-0400","60.2"," 14"
"PINS","05-11-2021 15:45:00-0400","60.34"," 15"
"SHOP","05-11-2021 09:55:00-0400","1076.58"," 09"
"SHOP","05-11-2021 10:00:00-0400","1076.5"," 10"
"SHOP","05-11-2021 11:30:00-0400","1104.3"," 11"
"SHOP","05-11-2021 12:00:00-0400","1101.4"," 12"
"SHOP","05-11-2021 13:45:00-0400","1117.99"," 13"
"SHOP","05-11-2021 14:50:00-0400","1116.0"," 14"
"SHOP","05-11-2021 15:20:00-0400","1121.59"," 15"
"SNAP","05-11-2021 09:55:00-0400","52.64"," 09"
"SNAP","05-11-2021 10:00:00-0400","52.63"," 10"
"SNAP","05-11-2021 11:55:00-0400","52.25"," 11"
"SNAP","05-11-2021 12:00:00-0400","52.55"," 12"
"SNAP","05-11-2021 13:35:00-0400","52.67"," 13"
"SNAP","05-11-2021 14:50:00-0400","53.27"," 14"
"SNAP","05-11-2021 15:45:00-0400","53.65"," 15"
"SQ","05-11-2021 09:55:00-0400","215.51"," 09"
"SQ","05-11-2021 10:00:00-0400","215.5"," 10"
"SQ","05-11-2021 11:55:00-0400","219.94"," 11"
"SQ","05-11-2021 12:10:00-0400","221.47"," 12"
"SQ","05-11-2021 13:35:00-0400","221.78"," 13"
"SQ","05-11-2021 14:25:00-0400","221.4"," 14"
"SQ","05-11-2021 14:30:00-0400","221.4"," 14"
"SQ","05-11-2021 15:55:00-0400","221.04"," 15"
"TTD","05-11-2021 09:40:00-0400","494.71"," 09"
"TTD","05-11-2021 10:00:00-0400","490.9"," 10"
"TTD","05-11-2021 11:50:00-0400","494.5"," 11"
"TTD","05-11-2021 12:00:00-0400","491.44"," 12"
"TTD","05-11-2021 13:35:00-0400","497.22"," 13"
"TTD","05-11-2021 14:45:00-0400","508.67"," 14"
"TTD","05-11-2021 15:50:00-0400","515.53"," 15"
